IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
1468374263574823983;Сковорода 24см глубокая без кр.Bojole (бордовый);Сковорода 24см глубокая без кр.Bojole (бордовый);;36399;;;;;;1;;;;;;;;
5022974038950705031;Сковорода 24см*4\,9см Escurion(черный);Сковорода 24см*4\,9см Escurion(черный);;33954;;;;;;1;;;;;;;;
1389403344011187622;Сковорода 26 см Walzer чёрный (кор=6шт);Сковорода 26 см Walzer чёрный (кор=6шт);;31441;;;;;;1;;;;;;;;
5527124381749449924;Сковорода 26см Balance (стальной);Сковорода 26см Balance (стальной);;31683;;;;;;2;;;;;;;;
2326353119843035788;Сковорода 26см Jersey;Сковорода 26см Jersey;;33952;;;;;;1;;;;;;;;
1266900051527036717;Сковорода 26см б/кр Geste(красный);Сковорода 26см б/кр Geste(красный);;36465;;;;;;1;;;;;;;;
3658181091019893969;Сковорода 28 см Balance Стальной (кор=6шт);Сковорода 28 см Balance Стальной (кор=6шт);;31444;;;;;;1;;;;;;;;
5466530653703637275;Сковорода 28 см Rhapsody (синяя) 6шт. ;Сковорода 28 см Rhapsody (синяя) 6шт. ;;32353;;;;;;1;;;;;;;;
6305496241420506439;Сковорода 28*5\,3см Infinity (кор=4);Сковорода 28*5\,3см Infinity (кор=4);;36387;;;;;;1;;;;;;;;
4188527368323039142;Сковорода 28cm Koralle Rondell (CR) 6шт. ;Сковорода 28cm Koralle Rondell (CR) 6шт. ;;32350;;;;;;1;;;;;;;;
1984136732456689894;Сковорода 28см Jersey;Сковорода 28см Jersey;;33953;;;;;;2;;;;;;;;
8309670494491473624;Сковорода 28см Praktika коричневый;Сковорода 28см Praktika коричневый;;36403;;;;;;1;;;;;;;;
2754017081423329350;Сковорода 28см глубокая без кр.Bojole (бордовый);Сковорода 28см глубокая без кр.Bojole (бордовый);;32537;;;;;;2;;;;;;;;
8262144938786111549;Сковорода 28см*6\,0см Escurion(черный);Сковорода 28см*6\,0см Escurion(черный);;33955;;;;;;1;;;;;;;;
7812877338699415977;Сковорода 28х5\,3см Marengo серый (кор=6шт);Сковорода 28х5\,3см Marengo серый (кор=6шт);;31457;;;;;;1;;;;;;;;
1919850585263989989;Сковорода б/кр 20 см Mocco Rondell коричневый;Сковорода б/кр 20 см Mocco Rondell коричневый;;31443;;;;;;3;;;;;;;;
9205108727980247226;Сковорода б/кр 24 см Latte (Коричневый) 4шт. ;Сковорода б/кр 24 см Latte (Коричневый) 4шт. ;;31785;;;;;;2;;;;;;;;
2968059426513366522;Сковорода б/кр 24 см Mocco (Коричневый) 4 шт.в уп;Сковорода б/кр 24 см Mocco (Коричневый) 4 шт.в уп;;31784;;;;;;4;;;;;;;;
8791106349430601414;Сковорода б/кр 24см Brilliance (кор=6);Сковорода б/кр 24см Brilliance (кор=6);;36397;;;;;;2;;;;;;;;
7298046647489679731;Сковорода б/кр 26 см Mocco (Коричневый) 4 шт.в уп. ;Сковорода б/кр 26 см Mocco (Коричневый) 4 шт.в уп. ;;32346;;;;;;3;;;;;;;;
8347737060926821947;Сковорода б/кр 26 см Rosso Rondell (Розовый)4шт. ;Сковорода б/кр 26 см Rosso Rondell (Розовый)4шт. ;;32348;;;;;;1;;;;;;;;
3551106289629900217;Сковорода б/кр 28 см Delise;Сковорода б/кр 28 см Delise;;31649;;;;;;1;;;;;;;;
335821462599793993;Сковорода б/кр 28 см Mocco (Коричневый) (кор=4шт);Сковорода б/кр 28 см Mocco (Коричневый) (кор=4шт);;31436;;;;;;2;;;;;;;;
4833105862772588473;Сковорода б/кр 28 см Zest чёрный (кор=6шт);Сковорода б/кр 28 см Zest чёрный (кор=6шт);;31451;;;;;;1;;;;;;;;
