IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
366b1973-f67c-11e6-80e7-0014d111070f;Салатник 13см 1шт Constance Мелкие цветы;Салатник 13см 1шт Constance Мелкие цветы;;30837;7690;;Чехия;Фарфор;Тхун;132;0;0;0;0;;;200.00;RUB
46290a4d-f67c-11e6-80e7-0014d111070f;Чайник 0,7л 1шт Constance Мелкие цветы;Чайник 0,7л 1шт Constance Мелкие цветы;;30838;7709;;Чехия;Фарфор;Тхун;1;0;0;0;0;;;1210.00;RUB
54cf70ac-f67c-11e6-80e7-0014d111070f;Сахарница 0,25л 1шт Constance Мелкие цветы;Сахарница 0,25л 1шт Constance Мелкие цветы;;30839;7703;;Чехия;Фарфор;Тхун;1;0;0;0;0;;;890.00;RUB
834d6296-f67c-11e6-80e7-0014d111070f;Тортница 31см н/н 1шт Constance Мелкие цветы;Тортница 31см н/н 1шт Constance Мелкие цветы;;30840;7720;;Чехия;Фарфор;Тхун;18;0;0;0;0;;;1120.00;RUB
9582ee3e-f67c-11e6-80e7-0014d111070f;Сольница 2-я 1шт Constance Мелкие цветы;Сольница 2-я 1шт Constance Мелкие цветы;;30841;7670;;Чехия;Фарфор;Тхун;20;0;0;0;0;;;450.00;RUB
a24d555f-f67c-11e6-80e7-0014d111070f;Овальное блюдо 32см Constance Мелкие цветы;Овальное блюдо 32см Constance Мелкие цветы;;30842;7688;;Чехия;Фарфор;Тхун;19;0;0;0;0;;;830.00;RUB
ad0eb17d-f67c-11e6-80e7-0014d111070f;Салатник 23см 1шт Constance Мелкие цветы;Салатник 23см 1шт Constance Мелкие цветы;;30843;7718;;Чехия;Фарфор;Тхун;20;0;0;0;0;;;610.00;RUB
b6cf819d-f67c-11e6-80e7-0014d111070f;Салатник 25см 1шт Constance Мелкие цветы;Салатник 25см 1шт Constance Мелкие цветы;;30844;7756;;Чехия;Фарфор;Тхун;15;0;0;0;0;;;610.00;RUB
c61dccca-f67c-11e6-80e7-0014d111070f;Горка 3 яруса 1шт Constance Мелкие цветы;Горка 3 яруса 1шт Constance Мелкие цветы;;30845;7685;;Чехия;Фарфор;Тхун;21;0;0;0;0;;;1050.00;RUB
d63491da-f67c-11e6-80e7-0014d111070f;Фруктовница 23см н/н 1шт Constance Мелкие цветы;Фруктовница 23см н/н 1шт Constance Мелкие цветы;;30846;7732;;Чехия;Фарфор;Тхун;1;0;0;0;0;;;1390.00;RUB
bd5656f7-fe4e-11e6-80e7-0014d111070f;Фруктовница на ножке 23см Отводка золото;Фруктовница на ножке 23см Отводка золото;;31057;7761;;Чехия;Фарфор;Тхун;1;0;0;0;0;;;1070.00;RUB
a910e005-5f69-11e4-9420-0014d111070f;BB Тройножка 114мл золото;BB Тройножка 114мл золото;;21844;1052;;Чехия;Хрусталь;Bohemia Briliant;1;0;0;0;0;;;3140.00;RUB
66598982-a7c3-11e5-9455-0014d111070f;Набор для шампанского 150мл 6шт Филиция хрусталь;Набор для шампанского 150мл 6шт Филиция хрусталь;;26407;1915;;Чехия;Хрусталь;Хрусталь Чехия золото;1;0;0;0;0;;;7230.00;RUB
18e51c5c-7f7d-11e2-b5d0-90e6ba3c1e10;Графин 0,9л хрусталь;Графин 0,9л хрусталь;;3203;5989;;Чехия;Хрусталь;Bohemia Glasspo;1;0;0;0;0;;;4830.00;RUB
18e51c74-7f7d-11e2-b5d0-90e6ba3c1e10;Доза 10,5см хрусталь;Доза 10,5см хрусталь;;3333;5945;;Чехия;Хрусталь;Bohemia Glasspo;1;0;0;0;0;;;2680.00;RUB
18e51c96-7f7d-11e2-b5d0-90e6ba3c1e10;Конфетница 13см хрусталь;Конфетница 13см хрусталь;;3815;6071;;Чехия;Хрусталь;Bohemia Glasspo;1;0;0;0;0;;;2500.00;RUB
18e51ce4-7f7d-11e2-b5d0-90e6ba3c1e10;Корзина 15,5мл хрусталь;Корзина 15,5мл хрусталь;;4056;6138;;Чехия;Хрусталь;Bohemia Glasspo;1;0;0;0;0;;;2520.00;RUB
1fa5a4b0-7f7d-11e2-b5d0-90e6ba3c1e10;Фруктовница 25,5см хрусталь;Фруктовница 25,5см хрусталь;;7703;6180;;Чехия;Хрусталь;Bohemia Glasspo;1;0;0;0;0;;;6280.00;RUB
26472f10-7f7d-11e2-b5d0-90e6ba3c1e10;NHG Конфетница н/н 20см хрусталь золото;NHG Конфетница н/н 20см хрусталь золото;;215;2132;;Чехия;Хрусталь;Хрусталь Чехия золото;1;0;0;0;0;;;5970.00;RUB
f3b6ceb6-f83f-11e6-80e7-0014d111070f;Горка 3-х ярусная Constance Гуси;Горка 3-х ярусная Constance Гуси;;30944;7462;;Чехия;Фарфор;Тхун;3;0;0;0;0;;;2090.00;RUB
